seg_uid,seg_id,road_name,length_m
DM-192770-284385-X9DQ,DM00404,중앙로,15.1
DM-192771-284307-X9DQ,DM00398,중앙로,8.1
DM-192771-284320-X9DQ,DM00400,중앙로,17.8
DM-192771-284353-X9DQ,DM00402,중앙로,48.0
DM-192775-283773-SLXC,DM00095,서석로85번길,26.3
DM-192775-284091-TO49,DM00805,중앙로246번길,57.0
DM-192777-284060-TO49,DM00804,중앙로246번길,78.8
DM-192780-284011-3JSA,DM00806,동계천로85번길,60.6
DM-192784-284147-Z8KD,DM00394,중앙로252번길,157.6
DM-192788-284234-52VO,DM00778,경양로,27.3
DM-192797-283732-SJLN,DM02849,서석로,88.2
DM-192797-283773-W4QT,DM00091,제봉로,30.0
DM-192797-284329-X9DQ,DM00403,중앙로,51.8
DM-192798-284175-N2AV,DM02408,동계천로95번길,122.5
DM-192800-283972-JFYG,DM02454,동계천로,28.8
DM-192802-284295-X9DQ,DM00401,중앙로,76.2
DM-192804-283684-SJLN,DM00746,서석로,56.9
DM-192805-283988-JFYG,DM03296,동계천로,16.4
DM-192807-283945-JFYG,DM02455,동계천로,51.9
DM-192812-283805-5592,DM00094,제봉로140번길,72.4
DM-192813-284018-3JSA,DM01705,동계천로85번길,32.3
DM-192817-284043-3JSA,DM01704,동계천로85번길,37.4
DM-192819-284265-X343,DM00777,계림로,94.3
DM-192820-283990-JFYG,DM03295,동계천로,25.0
DM-192823-284360-72Y1,DM00796,중앙로272번길,64.9
DM-192824-284134-N2AV,DM03305,동계천로95번길,12.1
DM-192824-284171-N2AV,DM02879,동계천로95번길,83.8
DM-192827-284002-3JSA,DM03293,동계천로85번길,10.0
DM-192829-284233-52VO,DM02407,경양로,58.2
DM-192830-283909-JFYG,DM02457,동계천로,34.1
DM-192832-284071-Z8KD,DM00789,중앙로252번길,21.8
DM-192834-283744-W4QT,DM00089,제봉로,64.1
DM-192834-284059-3JSA,DM00791,동계천로85번길,9.3
DM-192834-284088-Z8KD,DM00790,중앙로252번길,21.2
DM-192836-284016-3JSA,DM03294,동계천로85번길,31.7
DM-192836-284051-3JSA,DM01706,동계천로85번길,13.2
DM-192837-283946-JFYG,DM02456,동계천로,53.2
DM-192839-284313-X9DQ,DM03268,중앙로,45.9
DM-192842-284141-N2AV,DM03304,동계천로95번길,30.1
DM-192843-283713-SJLN,DM00090,서석로,39.7
DM-192843-283981-3JSA,DM03291,동계천로85번길,41.7
DM-192845-283780-4091,DM00092,제봉로138번길,82.9
DM-192846-284040-3JSA,DM03297,동계천로85번길,18.9
DM-192847-284029-3JSA,DM03299,동계천로85번길,12.5
DM-192847-284071-3JSA,DM00792,동계천로85번길,26.1
DM-192847-284126-3JSA,DM03303,동계천로85번길,20.9
DM-192849-283815-5592,DM00765,제봉로140번길,27.1
DM-192849-283930-N2AV,DM02458,동계천로95번길,57.5
DM-192851-283912-JFYG,DM02460,동계천로,28.5
DM-192856-284102-3JSA,DM01708,동계천로85번길,44.5
DM-192857-284136-3JSA,DM03302,동계천로85번길,23.0
DM-192858-284212-N2AV,DM02410,동계천로95번길,49.9
